"","x"
"938","friends"
"939","love"
"940","echo"
"941","purchased"
"942","company"
"943","husband"
"944","83"
"945","alexa"
"946","great"
"947","say"
"948","name"
"949","tells"
"950","joke"
"951","plays"
"952","favorite"
"953","songs"
"954","����"
"955","love"
"956","able"
"957","listen"
"958","music"
"959","easily."
"960","still"
"961","learning"
"962","features"
"963","available"
"964",""
"965","t"
"966","really"
"967","know"
"968","use"
"969","device"
"970","."
"971","used"
"972","things,"
"973","need"
"974","overview"
"975","love"
"976","just"
"977","wish"
"978","built"
"979","hub"
"980",""
"981","use"
"982","primarily"
"983","play"
"984","music."
"985","works"
"986","wonderfully!"
"987","still"
"988","getting"
"989","used"
"990","many"
"991","things"
"992","will"
"993","."
"994","amazon"
"995","sent"
"996","several"
"997","tips"
"998","since"
"999","got"
"1000","."
"1001","thanks"
"1002","help!"
"1003",""
"1004","easy"
"1005","set"
"1006","."
"1007","fast"
"1008","response"
"1009","amazing."
"1010","clear"
"1011","concise"
"1012","answers"
"1013","sound"
"1014","quality"
"1015","fantastic."
"1016","still"
"1017","getting"
"1018","used"
"1019","alexia"
"1020","usde"
"1021","echo"
"1022","full"
"1023","extent."
"1024","you’re"
"1025","need...na"
"1026","na"
"1027","nana!"
"1028",""
"1029","everything"
"1030","expected"
"1031","."
"1032",""
"1033","love"
"1034","echo!"
"1035","works"
"1036","just"
"1037","like"
"1038","said"
"1039","."
"1040","&#34;smart&#34;"
"1041","home,"
"1042","speak"
"1043","function,"
"1044","everything"
"1045","else"
"1046","good."
"1047","great"
"1048","sound"
"1049","small"
"1050","package—easy"
"1051","set"
"1052","use;"
"1053","fun"
"1054","."
"1055","works"
"1056","sounds"
"1057","great."
"1058",""
"1059","sound"
"1060","amazing"
"1061","many"
"1062","collections"
"1063","music"
"1064","setting"
"1065",""
"1066",""
"1067","doesn’t"
"1068","always"
"1069","listen"
"1070","it’s"
"1071","awesome"
"1072",""
"1073","bought"
"1074","can"
"1075","control"
"1076","fios"
"1077","television."
"1078","works"
"1079","well."
"1080","i’m"
"1081","hoping"
"1082","time"
"1083","will"
"1084","control"
"1085","fios."
"1086","discovered"
"1087","things"
"1088","alexa"
"1089","can"
"1090","."
"1091","play"
"1092","music"
"1093","ask"
"1094","."
"1095","great"
"1096","sound"
"1097","alexa."
"1098","play"
"1099","games."
"1100","play"
"1101","radio"
"1102","stations."
"1103","play"
"1104","old"
"1105","time"
"1106","radio"
"1107","programs"
"1108","like"
"1109","long"
"1110","ranger."
"1111","alexa"
"1112","many"
"1113","“apps”"
"1114","can"
"1115","add"
"1116","abilities."
"1117","day"
"1118","played"
"1119","madlibs."
"1120","great"
"1121","fun."
"1122","also"
"1123","alexa"
"1124","can"
"1125","control"
"1126","household"
"1127","appliances."
"1128","just"
"1129","purchased"
"1130","alexa"
"1131","compatible"
"1132","power"
"1133","strips"
"1134","control"
"1135","lighting,"
"1136","fans"
"1137","tv"
"1138","components."
"1139","i’m"
"1140","looking"
"1141","forward"
"1142","implementing"
"1143","controll."
"1144","can"
"1145","also"
"1146","add"
"1147","alexa"
"1148","components"
"1149","chosen"
"1150","music"
"1151","play"
"1152","rooms"
"1153","components"
"1154","located."
"1155",""
"1156","speaker"
"1157","excellent"
"1158","sound"
"1159","works"
"1160","perfectly!"
"1161",""
"1162","like"
"1163",""
"1164",""
"1165","love"
"1166","."
"1167","everything"
"1168",""
"1169","little"
"1170","nervous"
"1171","received"
"1172","new"
"1173","echo"
"1174","im"
"1175","really"
"1176","tech"
"1177","savvy."
"1178","found"
"1179","bit"
"1180","intimidating"
"1181","first"
"1182","didnt"
"1183","take"
"1184","long"
"1185","figure"
"1186","!!"
"1187","im"
"1188","happy"
"1189","purchase"
"1190","now"
"1191","thinking"
"1192","adding"
"1193","echo"
"1194","spot!!!"
"1195","1"
"1196","4"
"1197","30-jul-18"
"1198","charcoal"
"1199","fabric"
"1200","like"
"1201","still"
"1202","learning"
"1203","use"
"1204","."
"1205","1"
"1206","5"
"1207","30-jul-18"
"1208","charcoal"
"1209","fabric"
"1210","great"
"1211","technology!!"
"1212","cant"
"1213","believe"
"1214","speaker"
"1215","volume"
"1216","quality"
"1217","wonderful."
"1218","wish"
"1219","bought"
"1220","another"
"1221","one!"
"1222",""
"1223","purchased"
"1224","echo"
"1225","dot"
"1226","husband"
"1227","fathers"
"1228","day."
"1229","uses"
"1230","constantly"
"1231","hearing"
"1232","quality"
"1233","sound"
"1234","echo"
"1235","(2nd"
"1236","generation),"
"1237","-brainer."
"1238","best"
"1239","gift"
"1240","ever!"
"1241","works"
"1242","fine!!"
"1243",""
"1244",""
"1245","clear"
"1246","music"
"1247","fun"
"1248","use,"
"1249","good"
"1250","sound"
"1251","quality"
"1252",""
"1253","echo"
"1254","works"
"1255","well."
"1256","able"
"1257","sync"
"1258","amazon"
"1259","music"
"1260","devices."
"1261","works"
"1262","great,"
"1263","think"
"1264","amazon"
"1265","charge"
"1266","another"
"1267","cent"
"1268","unlimited"
"1269","music"
"1270","1)"
"1271","prime"
"1272","2)"
"1273","buy"
"1274","echo."
"1275","already"
"1276","echo"
"1277","dot."
"1278","echo"
"1279","even"
"1280","better"
"1281","fuller"
"1282","sound."
"1283","also"
"1284","setup"
"1285","now"
"1286","lets"
"1287","phone"
"1288","calls"
"1289","made"
"1290","contact"
"1291","list"
"1292","great!"
"1293",""
"1294","speaker"
"1295","sounds"
"1296","really"
"1297","good"
"1298","good"
"1299","sound"
"1300","works"
"1301","well"
"1302","love"
"1303","alexa."
"1304","savvy"
"1305","support"
"1306","helpful"
"1307","patient."
"1308","love"
"1309","!"
"1310","thinking"
"1311","getting"
"1312","one"
"1313","prime"
"1314","day"
"1315","discount"
"1316","offered,"
"1317","pass"
"1318","!"
"1319","fun"
"1320","ask"
"1321","alexa"
"1322","play"
"1323","song"
"1324","group"
"1325","comes"
"1326","playlist"
"1327","amazon"
"1328","prime"
"1329","music."
"1330","can"
"1331","also"
"1332","connect"
"1333","iphone"
"1334","bluetooth"
"1335","play"
"1336","music"
"1337","pandora"
"1338","youtube"
"1339","videos"
"1340","using"
"1341","alexa"
"1342","speaker."
"1343","fun"
"1344","asking"
"1345","alexa"
"1346","different"
"1347","types"
"1348","questions"
"1349","information"
"1350","like"
"1351","weather,"
"1352","news"
"1353","even"
"1354","time"
"1355","countries."
"1356","downside"
"1357","limited"
"1358","data"
"1359","wifi"
"1360","plan,"
"1361","alexa"
"1362","uses"
"1363","burns"
"1364","playing"
"1365","music."
"1366",""
"1367","like"
"1368","far,"
"1369","lot"
"1370","try"
"1371","yet."
"1372","love"
"1373","-"
"1374","using"
"1375","strictly"
"1376","music"
"1377","now"
"1378","great!"
"1379","1"
"1380","5"
"1381","30-jul-18"
"1382","sandstone"
"1383","fabric"
"1384","""love"
"1385","echo"
"1386","!!!"
"1387","love"
"1388","size,"
"1389","material"
"1390","speaker"
"1391","quality."
"1392","hooked"
"1393","one"
"1394","light"
"1395","easily"
"1396","will"
"1397","work"
"1398","additional"
"1399","lights"
"1400","thermostat."
"1401","next"
"1402","echo"
"1403","dot"
"1404","bedroom."
"1405","lot"
"1406","echo"
"1407","think."
"1408","traffic,"
"1409","weather,"
"1410","trivia,"
"1411","etc."""
"1412","1"
"1413","4"
"1414","30-jul-18"
"1415","charcoal"
"1416","fabric"
"1417","love"
"1418","!"
"1419","1"
"1420","5"
"1421","30-jul-18"
"1422","charcoal"
"1423","fabric"
"1424","entire"
"1425","family"
"1426","loves"
"1427","alexa"
"1428","echo."
"1429","she’s"
"1430","now"
"1431","part"
"1432","family."
"1433","1"
"1434","5"
"1435","30-jul-18"
"1436","walnut"
"1437","finish"
"1438","""great"
"1439","fun"
"1440","getting"
"1441","know"
"1442","functions"
"1443","product."
"1444","wow"
"1445","--"
"1446","family"
"1447","fun"
"1448","homework"
"1449","help."
"1450","talking"
"1451","grandchildren,"
"1452","also"
"1453","echo,"
"1454","huge"
"1455","bonus."
"1456","cant"
"1457","wait"
"1458","learn"
"1459","1"
"1460","5"
"1461","30-jul-18"
"1462","heather"
"1463","gray"
"1464","fabric"
"1465","love"
"1466","!"
"1467","1"
"1468","5"
"1469","30-jul-18"
"1470","heather"
"1471","gray"
"1472","fabric"
"1473","awesome"
"1474","thing,"
"1475","love"
"1476","alexa"
"1477","1"
"1478","5"
"1479","30-jul-18"
"1480","charcoal"
"1481","fabric"
"1482","worked"
"1483","exactly"
"1484","expected"
"1485","speaker"
"1486","great"
"1487","sound."
"1488","perfect"
"1489","classroom!"
"1490","1"
"1491","5"
"1492","30-jul-18"
"1493","charcoal"
"1494","fabric"
"1495","love,"
"1496","love"
"1497","new"
"1498","little"
"1499","gadget."
"1500","made"
"1501","lives"
"1502","much"
"1503","easier."
"1504","like"
"1505","personal"
"1506","secretary"
"1507","living"
"1508","home."
"1509","hardly"
"1510","need"
"1511","cds"
"1512","anymore,"
"1513","since"
"1514","alexa"
"1515","plays"
"1516","everything"
"1517","need."
"1518","going"
"1519","get"
"1520","alexa"
"1521","dots"
"1522","soon"
"1523","rooms."
"1524","thanks!!"
"1525","1"
"1526","4"
"1527","30-jul-18"
"1528","heather"
"1529","gray"
"1530","fabric"
"1531","speaker"
"1532","surprising"
"1533","quality."
"1534","happy"
"1535","purchase."
"1536","1"
"1537","5"
"1538","30-jul-18"
"1539","charcoal"
"1540","fabric"
"1541","easy"
"1542","set"
"1543","."
"1544","works"
"1545","wonderful"
"1546","love"
"1547","!!"
"1548","1"
"1549","5"
"1550","30-jul-18"
"1551","sandstone"
"1552","fabric"
"1553","really"
"1554","impressed"
"1555","sound"
"1556","quality"
"1557","playing"
"1558","music"
"1559","device."
"1560","bass"
"1561","sounds"
"1562","almost"
"1563","like"
"1564","coming"
"1565","bigger"
"1566","speaker"
"1567","props"
"1568","amazon."
"1569","1"
"1570","4"
"1571","30-jul-18"
"1572","charcoal"
"1573","fabric"
"1574","it’s"
"1575","still"
"1576","great"
"1577","product."
"1578","sound"
"1579","quality"
"1580","seem"
"1581","worse.don’t"
"1582","get"
"1583","wrong."
"1584","definitely"
"1585","get"
"1586","used"
"1587","within"
"1588","hour."
"1589","definitely"
"1590","feels"
"1591","like"
"1592","echo"
"1593","gen"
"1594","1"
"1595","sound"
"1596","quality"
"1597","better.besides"
"1598",","
"1599","it’s"
"1600","great."
"1601","addition"
"1602","able"
"1603","play"
"1604","just"
"1605","bluetooth"
"1606","wifi,"
"1607","it’s"
"1608","even"
"1609","better."
"1610","1"
"1611","4"
"1612","30-jul-18"
"1613","sandstone"
"1614","fabric"
"1615","outlet"
"1616","work"
"1617","."
"1618","disappointed"
"1619","."
"1620","1"
"1621","4"
"1622","30-jul-18"
"1623","charcoal"
"1624","fabric"
"1625","great"
"1626","device,"
"1627","responsive"
"1628","helpful"
"1629","1"
"1630","2"
"1631","30-jul-18"
"1632","charcoal"
"1633","fabric"
"1634","sound"
"1635","terrible"
"1636","u"
"1637","want"
"1638","good"
"1639","music"
"1640","get"
"1641","bose"
"1642","0"
"1643","4"
"1644","30-jul-18"
"1645","charcoal"
"1646","fabric"
"1647","liked"
"1648","sound"
"1649","."
"1650","troubling"
"1651","paid"
"1652","extra"
"1653","money"
"1654","access"
"1655","million"
"1656","songs."
"1657","sometimes"
"1658","doesnt"
"1659","work."
"1660","ex."
"1661","alexa"
"1662","play"
"1663","italian"
"1664","songs&#34;"
"1665",".dont"
"1666","don&"
"1667","easy"
"1668","set"
"1669","use."
"1670","bad"
"1671","plugged"
"1672","."
"1673","nice"
"1674","take"
"1675","outside"
"1676","operate"
"1677","battery"
"1678","recharged."
"1679","still"
"1680","learning"
"1681","ways"
"1682","use"
"1683","."
"1684","real"
"1685","hit"
"1686","grandkids"
"1687","ask"
"1688","play"
"1689","music"
"1690","dance"
"1691","."
"1692","(5"
"1693","7"
"1694","yrs)."
"1695","cute."
"1696","4.5"
"1697","5"
"1698","stars."
"1699","generally"
"1700","like"
"1701","product."
"1702","great"
"1703","ask"
"1704","like"
"1705","playing"
"1706","music,"
"1707","setting"
"1708","timers,"
"1709","making"
"1710","calls."
"1711","reason"
"1712","rate"
"1713","5"
"1714","5"
"1715","sometimes"
"1716","connection"
"1717","dies"
"1718","echo"
"1719","stops"
"1720","playing"
"1721","music"
"1722","shows"
"1723","red"
"1724","ring."
"1725","seems"
"1726","connection"
"1727","issue."
"1728","overall,"
"1729","great"
"1730","product."
"1731","works"
"1732","great,"
"1733","upgraded"
"1734","echo"
"1735","dot"
"1736","full"
"1737","size"
"1738","echo,"
"1739","couldn’t"
"1740","happier!"
"1741",""
"1742","alexa...."
"1743","else"
"1744","can"
"1745","say"
"1746","1"
"1747","5"
"1748","30-jul-18"
"1749","charcoal"
"1750","fabric"
"1751","upgraded"
"1752","lilttle"
"1753","echo"
"1754","dot."
"1755","happy"
"1756","sound"
"1757","1"
"1758","4"
"1759","30-jul-18"
"1760","sandstone"
"1761","fabric"
"1762","""excellent"
"1763","product,"
"1764","set"
"1765","ease"
"1766","well."""
"1767","1"
"1768","5"
"1769","30-jul-18"
"1770","heather"
"1771","gray"
"1772","fabric"
"1773","ive"
"1774","first"
"1775","gen"
"1776","echo"
"1777","since"
"1778","first"
"1779","came"
"1780","worked"
"1781","well"
"1782","."
"1783","purchased"
"1784","2nd"
"1785","gen"
"1786","prime"
"1787","day"
"1788","far"
"1789","im"
"1790","happy."
"1791","seems"
"1792","improved"
"1793","speaker"
"1794","provides"
"1795","enhanced"
"1796","sound"
"1797","music"
"1798","."
"1799","1"
"1800","5"
"1801","30-jul-18"
"1802","charcoal"
"1803","fabric"
"1804","love"
"1805","echo"
"1806","smart"
"1807","speaker."
"1808","love"
"1809","volume"
"1810","clarity."
"1811","easy"
"1812","set"
"1813","."
"1814","wonderful"
"1815","gift"
"1816","age."
"1817","1"
"1818","5"
"1819","30-jul-18"
"1820","charcoal"
"1821","fabric"
"1822","wonderful"
"1823","product"
"1824","fast"
"1825","delivery!"
"1826","1"
"1827","4"
"1828","30-jul-18"
"1829","charcoal"
"1830","fabric"
"1831","initially"
"1832","harder"
"1833","set"
"1834","called"
"1835","tech"
"1836","wasn’t"
"1837","knowledgeable"
"1838","now"
"1839","working"
"1840","great."
"1841","1"
"1842","5"
"1843","30-jul-18"
"1844","heather"
"1845","gray"
"1846","fabric"
"1847","easy"
"1848","set"
"1849","family"
"1850","love"
"1851","it’s!"
"1852","1"
"1853","5"
"1854","30-jul-18"
"1855","charcoal"
"1856","fabric"
"1857","great"
"1858","sound"
"1859","responsive"
"1860","voice"
"1861","commands."
"1862","1"
"1863","5"
"1864","30-jul-18"
"1865","sandstone"
"1866","fabric"
"1867","live"
"1868","long"
"1869","without"
"1870","echo"
"1871","."
"1872","get"
"1873","enjoy"
"1874","music"
"1875","style"
"1876","just"
